arch,identifier,trial,round,iterations,best_validation_loss,best_iteration,acc_at_best_iter,loss_at_best_iter,num_weights,percent_weight
conv2,1666773185,0,0,20000,0.833531467687516,3700,0.715,0.843269803923761,3793088,100.0
conv2,1666773185,0,1,20000,1.4574946491491227,100,0.7094,1.4575499760176607,3038586,80.1
conv2,1666773185,0,2,20000,1.5085210282178152,100,0.7148,1.483711813381332,2434572,64.2
conv2,1666773185,0,3,20000,1.536101058125496,100,0.7079,1.59073423946689,1950991,51.4
conv2,1666773185,0,4,20000,1.6017104153122221,100,0.7103,1.5394306411286314,1563793,41.2
conv2,1666773185,0,5,20000,1.5771223299560093,300,0.7053,1.5324156498480699,1253734,33.1
conv2,1666773185,0,6,20000,1.5590615442820959,400,0.7063,1.51806904562933,1005417,26.5
conv2,1666773185,0,7,20000,1.577666583515349,700,0.7014,1.498702822688097,806520,21.3
conv2,1666773185,0,8,20000,1.506021723860786,700,0.6982,1.4654040996899862,647184,17.1
conv2,1666773185,0,9,20000,1.5798348223879224,700,0.6874,1.5416799419654343,519519,13.7
conv2,1666773185,0,10,20000,1.5706612638064794,800,0.6892,1.509377448501701,417210,11.0
conv2,1666773185,0,11,20000,1.5647461478199278,800,0.6847,1.5063308199008782,335204,8.8
conv2,1666773185,0,12,20000,1.459515114625295,600,0.6781,1.4507320619628814,269455,7.1
conv2,1666773185,0,13,20000,1.661880394532567,1200,0.6703,1.6422885634941968,216727,5.7
conv2,1666773185,0,14,20000,1.660313463636807,1200,0.6528,1.6157362789451004,174429,4.6
conv2,1666773185,0,15,20000,1.5903787137497039,1800,0.6497,1.5208929216790341,140485,3.7
conv2,1666773185,0,16,20000,1.7324436597880863,2200,0.6424,1.6289049708200787,113235,3.0
conv2,1666773185,0,17,20000,1.6837120928934641,2500,0.6322,1.617242509019589,91350,2.4
conv2,1666773185,0,18,20000,1.6135880471695037,3000,0.6182,1.6068881282549419,73766,1.9
conv2,1666773185,0,19,20000,1.4687934929416293,4200,0.6174,1.4513112816981926,59631,1.6
conv2,1666773185,0,20,20000,1.2879528758071719,7400,0.6212,1.2990025267629566,48261,1.3
conv2,1666773185,0,21,20000,1.2196379821924936,10100,0.6179,1.2226849355383547,39110,1.0
