arch,identifier,trial,round,iterations,best_validation_loss,best_iteration,acc_at_best_iter,loss_at_best_iter,num_weights,percent_weights
lenet,1667011973,0,0,50000,0.069733166471928,7500,0.981,0.064481406700574,266200,100
lenet,1667011973,0,1,50000,0.119020342007647,0,0.9843,0.101667469504225,213060,80
lenet,1667011973,0,2,50000,0.128638724263168,1000,0.9838,0.106009955208239,170538,64.1
lenet,1667011973,0,3,50000,0.129503782730369,5000,0.984,0.107818160180767,136511,51.3
lenet,1667011973,0,4,50000,0.125023798806305,1100,0.984,0.107881523387532,109282,41.1
lenet,1667011973,0,5,50000,0.120202732286151,4900,0.9839,0.102183131528061,87490,32.9
lenet,1667011973,0,6,50000,0.112206781021013,1600,0.983,0.098514471839905,70051,26.3
lenet,1667011973,0,7,50000,0.106958727850416,900,0.9833,0.092902215336857,56094,21.1
lenet,1667011973,0,8,50000,0.107256873434529,1000,0.9823,0.093628257287466,44923,16.9
lenet,1667011973,0,9,50000,0.10174761533084,1100,0.983,0.093342092446529,35981,13.5
lenet,1667011973,0,10,50000,0.106059203196288,1900,0.982,0.095391025634541,28823,10.8
lenet,1667011973,0,11,50000,0.109294475134734,2500,0.9822,0.09359503626322,23093,8.7
lenet,1667011973,0,12,50000,0.120247306042886,3000,0.9823,0.099080919244302,18506,7
lenet,1667011973,0,13,50000,0.117264327675024,1800,0.9819,0.103688112066217,14834,5.6
lenet,1667011973,0,14,50000,0.121336305579462,1800,0.9809,0.101673112395612,11893,4.5
lenet,1667011973,0,15,50000,0.137463319198345,5300,0.9815,0.108589690221308,9537,3.6
lenet,1667011973,0,16,50000,0.132663348270734,1900,0.9799,0.111992256907118,7650,2.9
lenet,1667011973,0,17,50000,0.157690222164049,3000,0.9787,0.114755073410548,6139,2.3
lenet,1667011973,0,18,50000,0.16203194449268,4000,0.9775,0.130622986133003,4928,1.9
lenet,1667011973,0,19,50000,0.177551055032392,4000,0.9765,0.134826492470065,3958,1.5
lenet,1667011973,0,20,50000,0.217783079347836,9800,0.9728,0.162596393990754,3179,1.2
lenet,1667011973,0,21,50000,0.223550604028787,16300,0.971,0.181635933373128,2556,1
lenet,1667011973,0,22,50000,0.19796893188409,46300,0.9654,0.162580347189319,2056,0.8
lenet,1667011973,0,23,50000,0.158673029769922,48200,0.9596,0.147675374395933,1655,0.6
lenet,1667011973,0,24,50000,0.180823710419992,36100,0.9558,0.157315003412391,1332,0.5
lenet,1667011973,0,25,50000,0.230963404246029,43000,0.9404,0.201754872402745,1074,0.4
lenet,1667011973,0,26,50000,0.331382952364428,49000,0.9084,0.301893257095428,866,0.3
lenet,1667011973,0,27,50000,0.478239297157242,43700,0.8655,0.438765016679992,700,0.3
lenet,1667059500,1,0,50000,0.064394091740334,8100,0.9817,0.067158822371709,266200,100
lenet,1667059500,1,1,50000,0.107063165144087,400,0.9841,0.108677131164841,213060,80
lenet,1667059500,1,2,50000,0.11268949633835,100,0.9842,0.115637420708504,170538,64.1
lenet,1667059500,1,3,50000,0.112551034441095,200,0.984,0.114681775634863,136511,51.3
lenet,1667059500,1,4,50000,0.111455225401783,3800,0.9849,0.111490217662437,109282,41.1
lenet,1667059500,1,5,50000,0.106033936488241,1300,0.9834,0.112201108683629,87490,32.9
lenet,1667059500,1,6,50000,0.10620975073709,3100,0.984,0.105473729350516,70051,26.3
lenet,1667059500,1,7,50000,0.09797709366073,900,0.9836,0.102998392280336,56094,21.1
lenet,1667059500,1,8,50000,0.102246156294622,4700,0.9844,0.099337035434973,44923,16.9
lenet,1667059500,1,9,50000,0.095738349736954,400,0.9818,0.110526162491529,35981,13.5
lenet,1667059500,1,10,50000,0.100204946482547,2600,0.9836,0.098071114752102,28823,10.8
