arch,identifier,trial,round,iterations,best_validation_loss,best_iteration,acc_at_best_iter,loss_at_best_iter,num_weights,percent_weights
lenet,1666771472,0,0,50000,0.0692550408989302,6300,0.9813,0.06195626356590171,266200,100.0
lenet,1666771472,0,1,50000,0.08758400083111371,200,0.9809,0.09070793216324635,213060,80.0
lenet,1666771472,0,2,50000,0.07713805790756721,700,0.9823,0.08039499825927286,170538,64.1
lenet,1666771472,0,3,50000,0.07872483413320013,900,0.9813,0.07765850943424683,136511,51.3
lenet,1666771472,0,4,50000,0.07961910790479687,1300,0.9812,0.07600950700364043,109282,41.1
lenet,1666771472,0,5,50000,0.08220699005323695,1500,0.9785,0.084095601460978,87490,32.9
lenet,1666771472,0,6,50000,0.08854317616593714,3100,0.9785,0.08561573725285755,70051,26.3
lenet,1666771472,0,7,50000,0.09091849188431904,2200,0.9763,0.08722355450582997,56094,21.1
lenet,1666771472,0,8,50000,0.1002737739500368,6000,0.9757,0.10138366944851943,44923,16.9
lenet,1666771472,0,9,50000,0.12266672470321369,3900,0.971,0.11682132461030192,35981,13.5
lenet,1666771472,0,10,50000,0.1310722236133491,4700,0.9724,0.12188681298769274,28823,10.8
lenet,1666771472,0,11,50000,0.13996228240042305,8400,0.9689,0.13794385095462927,23093,8.7
lenet,1666771472,0,12,50000,0.16717052218770537,11100,0.964,0.17190323662205215,18506,7.0
lenet,1666771472,0,13,50000,0.18536229081551678,10400,0.9594,0.19171738934920665,14834,5.6
lenet,1666771472,0,14,50000,0.22869307154213034,18700,0.9542,0.21562701743096113,11893,4.5
lenet,1666771472,0,15,50000,0.2136814593769876,19700,0.9508,0.194176237179736,9537,3.6
lenet,1666771472,0,16,50000,0.19456408022060281,22900,0.9472,0.1878897826895564,7650,2.9
lenet,1666771472,0,17,50000,0.20756758913575185,39500,0.9467,0.19204529462951028,6139,2.3
lenet,1666771472,0,18,50000,0.23364283372869804,42600,0.9344,0.22678230459729354,4928,1.9
lenet,1666771472,0,19,50000,0.2944955885232914,47400,0.9237,0.2589491921850664,3958,1.5
lenet,1666771472,0,20,50000,0.37674614742753054,49200,0.8935,0.3510241541944578,3179,1.2
lenet,1666771472,0,21,50000,0.5203375729421774,47300,0.8451,0.5081670005878288,2556,1.0
lenet,1666771472,0,22,50000,0.6702953321593148,49100,0.7925,0.6599333091767249,2056,0.8
lenet,1666771472,0,23,50000,0.9529701556478228,49600,0.6915,0.9507881103161566,1655,0.6
lenet,1666771472,0,24,50000,1.0864271095820837,43400,0.6294,1.0727763904068999,1332,0.5
lenet,1666771472,0,25,50000,1.4286322884616398,37900,0.4901,1.4324697820012442,1074,0.4
lenet,1666771472,0,26,50000,1.7608343022210258,35700,0.3629,1.7515946476759312,866,0.3
lenet,1666771472,0,27,50000,2.122660463764554,43400,0.173,2.1289506693800053,700,0.3
lenet,1666816389,1,0,50000,0.06736122999297679,7100,0.9811,0.06606023678692716,266200,100.0
lenet,1666816389,1,1,50000,0.08068201651777988,1200,0.9831,0.07947733692377304,213060,80.0
lenet,1666816389,1,2,50000,0.07817446586419205,1100,0.9828,0.07381236624949637,170538,64.1
lenet,1666816389,1,3,50000,0.07733104188784116,1300,0.9818,0.07592728211044984,136511,51.3
lenet,1666816389,1,4,50000,0.07466578615484261,1800,0.9804,0.07643898066100498,109282,41.1
lenet,1666816389,1,5,50000,0.07726472797748145,1300,0.9798,0.07562849183377257,87490,32.9
lenet,1666816389,1,6,50000,0.0786492967426533,3300,0.9792,0.08115124185072031,70051,26.3
lenet,1666816389,1,7,50000,0.08991322713353882,2400,0.976,0.08839710194929112,56094,21.1
lenet,1666816389,1,8,50000,0.09962852136301253,4300,0.9774,0.09494693476558959,44923,16.9
lenet,1666816389,1,9,50000,0.11182104255948659,5600,0.972,0.11972617734707042,35981,13.5
lenet,1666816389,1,10,50000,0.12415061012281858,8300,0.9709,0.12719624405162142,28823,10.8
lenet,1666816389,1,11,50000,0.15123888673163796,4800,0.967,0.13227176008896602,23093,8.7
lenet,1666816389,1,12,50000,0.1734390403261863,7700,0.9644,0.15518005823920072,18506,7.0
lenet,1666816389,1,13,50000,0.18652999558530392,12500,0.96,0.17763151805067134,14834,5.6
lenet,1666816389,1,14,50000,0.23663855549169793,12200,0.9565,0.17742391645038377,11893,4.5
lenet,1666816389,1,15,50000,0.2232961768417486,18500,0.9484,0.1998485254951959,9537,3.6
lenet,1666816389,1,16,50000,0.18787689463767623,26900,0.9481,0.19224836867481113,7650,2.9
lenet,1666816389,1,17,50000,0.21789079838033235,25400,0.9487,0.19337819436353124,6139,2.3
lenet,1666816389,1,18,50000,0.24068360762404545,44600,0.9386,0.21127946439483566,4928,1.9
lenet,1666816389,1,19,50000,0.27752035616764,47700,0.9235,0.24632909516999107,3958,1.5
lenet,1666816389,1,20,50000,0.32901123272521154,49000,0.9104,0.31357607936966203,3179,1.2
lenet,1666816389,1,21,50000,0.4319937667321591,48200,0.8812,0.4099053240821747,2556,1.0
lenet,1666816389,1,22,50000,0.5914882797570455,47100,0.8336,0.5491370283022612,2056,0.8
lenet,1666816389,1,23,50000,0.8830998383817219,47300,0.7378,0.8399721125285783,1655,0.6
lenet,1666816389,1,24,50000,1.0905590192193078,48600,0.6434,1.052865400642692,1332,0.5
lenet,1666816389,1,25,50000,1.3996514507702418,37500,0.5181,1.3795046527942498,1074,0.4
lenet,1666816389,1,26,50000,1.672676676795596,45100,0.4009,1.6850625248012427,866,0.3
lenet,1666816389,1,27,50000,1.8452459204764593,22800,0.3455,1.863156504259852,700,0.3
lenet,1666864640,2,0,50000,0.06849873000464868,7800,0.9817,0.06893260695645306,266200,100.0
lenet,1666864640,2,1,50000,0.08155196678966431,500,0.9812,0.09155128684231571,213060,80.0
lenet,1666864640,2,2,50000,0.07508554817139243,1400,0.9805,0.07482479476137435,170538,64.1
lenet,1666864640,2,3,50000,0.0719849626407917,2800,0.9822,0.07342298374370837,136511,51.3
lenet,1666864640,2,4,50000,0.07916331048389631,3100,0.9831,0.06717052367634108,109282,41.1
lenet,1666864640,2,5,50000,0.08500408636159375,2200,0.98,0.0732287471004231,87490,32.9
lenet,1666864640,2,6,50000,0.08972446882953158,2200,0.9784,0.0774945219128928,70051,26.3
lenet,1666864640,2,7,50000,0.10587987498694842,3100,0.9788,0.08134763284630288,56094,21.1
lenet,1666864640,2,8,50000,0.10246790320213352,2700,0.9759,0.09408225772189936,44923,16.9
lenet,1666864640,2,9,50000,0.1228209614124526,5800,0.974,0.10069273583713674,35981,13.5
lenet,1666864640,2,10,50000,0.12130514292013166,4200,0.9732,0.11365470002700914,28823,10.8
lenet,1666864640,2,11,50000,0.1463171024827586,6700,0.9688,0.13326051642889614,23093,8.7
lenet,1666864640,2,12,50000,0.16391491710895761,6800,0.9632,0.16255202141595992,18506,7.0
lenet,1666864640,2,13,50000,0.1921189673594199,11800,0.9607,0.1878903055416133,14834,5.6
lenet,1666864640,2,14,50000,0.20877617254709116,10600,0.9531,0.21802929180958672,11893,4.5
lenet,1666864640,2,15,50000,0.21275071318571767,14900,0.9482,0.19834884201472033,9537,3.6
lenet,1666864640,2,16,50000,0.20568114350594224,33300,0.9514,0.1823892389273572,7650,2.9
lenet,1666864640,2,17,50000,0.2186532810197345,32200,0.9464,0.18568080288921288,6139,2.3
lenet,1666864640,2,18,50000,0.248108024664578,46800,0.9389,0.21063007724410046,4928,1.9
lenet,1666864640,2,19,50000,0.30354973141636166,49600,0.917,0.2709824078811143,3958,1.5
lenet,1666864640,2,20,50000,0.3938817569897288,46000,0.8857,0.37928314658696066,3179,1.2
lenet,1666864640,2,21,50000,0.500569019111849,49600,0.853,0.48756897092579365,2556,1.0
lenet,1666864640,2,22,50000,0.7211160652694248,48600,0.7805,0.6943337528291577,2056,0.8
lenet,1666864640,2,23,50000,1.0220544643345333,46200,0.6801,0.9847351444695525,1655,0.6
lenet,1666864640,2,24,50000,1.3823455515361966,49600,0.517,1.3497214096035073,1332,0.5
lenet,1666864640,2,25,50000,1.7467852532863617,45700,0.4081,1.6883563716968377,1074,0.4
lenet,1666864640,2,26,50000,1.957114353066399,49100,0.3261,1.9210997284529452,866,0.3
lenet,1666864640,2,27,50000,2.0427396581286477,43700,0.2818,2.040745224781379,700,0.3
lenet,1666915478,3,0,50000,0.07165521956353803,4900,0.9786,0.06552401018499057,266200,100.0
lenet,1666915478,3,1,50000,0.0842989527356535,800,0.9833,0.07340914319014222,213060,80.0
